,layer,pos,prob
0,0,0,7.559087680419907e-05
1,0,1,3.210693830624223e-05
2,0,2,5.28978489455767e-05
3,0,3,3.98339907405898e-05
4,0,4,5.192332901060581e-05
5,0,5,0.00022622212418355048
6,0,6,3.790763730648905e-05
7,1,0,2.1531090169446543e-05
8,1,1,3.0406414225581102e-05
9,1,2,3.700556408148259e-05
10,1,3,3.8611615309491754e-05
11,1,4,5.603679528576322e-05
12,1,5,0.00023610009520780295
13,1,6,3.8780959584983066e-05
14,2,0,4.818586239707656e-05
15,2,1,3.8547830627067015e-05
16,2,2,3.13814016408287e-05
17,2,3,4.3507377995410934e-05
18,2,4,4.9580776249058545e-05
19,2,5,0.00023146465537138283
20,2,6,3.8015157770132646e-05
21,3,0,3.145409937133081e-05
22,3,1,2.2525246095028706e-05
23,3,2,2.950925045297481e-05
24,3,3,3.6525336327031255e-05
25,3,4,3.803898289334029e-05
26,3,5,0.00022745708702132106
27,3,6,3.84453778679017e-05
28,4,0,3.534244387992658e-05
29,4,1,1.6928630429902114e-05
30,4,2,2.8249824026715942e-05
31,4,3,4.053503289469518e-05
32,4,4,4.53678730991669e-05
33,4,5,0.0002190699306083843
34,4,6,4.1299885197076946e-05
35,5,0,3.628049307735637e-05
36,5,1,1.9146324120811187e-05
37,5,2,2.4458942789351568e-05
38,5,3,4.1386836528545246e-05
39,5,4,4.9237201892537996e-05
40,5,5,0.00021427393949124962
41,5,6,5.102246723254211e-05
42,6,0,4.281094152247533e-05
43,6,1,2.070283517241478e-05
44,6,2,2.3688953660894185e-05
45,6,3,4.142621764913201e-05
46,6,4,4.866950985160656e-05
47,6,5,0.0002027396985795349
48,6,6,6.393785588443279e-05
49,7,0,4.1314284317195415e-05
50,7,1,2.0526722437352873e-05
51,7,2,3.0720329959876835e-05
52,7,3,4.1385046642972156e-05
53,7,4,5.52472920389846e-05
54,7,5,0.00010679775004973635
55,7,6,5.211053940001875e-05
56,8,0,3.865864346153103e-05
57,8,1,2.0390098143252544e-05
58,8,2,3.269149237894453e-05
59,8,3,4.039973282488063e-05
60,8,4,6.471805681940168e-05
61,8,5,9.880971629172564e-05
62,8,6,7.020970224402845e-05
63,9,0,3.6868346796836704e-05
64,9,1,2.0393761587911285e-05
65,9,2,3.236741031287238e-05
66,9,3,3.8405214581871405e-05
67,9,4,7.233677024487406e-05
68,9,5,9.324880375061184e-05
69,9,6,9.471601515542716e-05
70,10,0,3.7815450923517346e-05
71,10,1,2.1094632757012732e-05
72,10,2,3.598184048314579e-05
73,10,3,3.694435508805327e-05
74,10,4,8.143322338582948e-05
75,10,5,9.445580508327112e-05
76,10,6,0.00011009705485776067
77,11,0,3.7093581340741366e-05
78,11,1,2.3947019144543447e-05
79,11,2,3.616412868723273e-05
80,11,3,3.615177047322504e-05
81,11,4,0.00011769186676247045
82,11,5,0.00010288097109878436
83,11,6,0.000121418917842675
84,12,0,3.693308826768771e-05
85,12,1,2.497992682037875e-05
86,12,2,4.059738785144873e-05
87,12,3,3.4458185837138444e-05
88,12,4,0.0001639482652535662
89,12,5,0.00011004765110556036
90,12,6,0.00014221516903489828
91,13,0,3.7360801798058674e-05
92,13,1,2.3389413399854675e-05
93,13,2,4.5259290345711634e-05
94,13,3,3.468024806352332e-05
95,13,4,0.0002425530692562461
96,13,5,0.00012816036178264767
97,13,6,0.00014846902922727168
98,14,0,3.7140129279578105e-05
99,14,1,1.981905552383978e-05
100,14,2,4.30542349931784e-05
101,14,3,3.6888995964545757e-05
102,14,4,0.0002631504030432552
103,14,5,8.977587276604027e-05
104,14,6,0.00015101266035344452
105,15,0,3.7271896871970966e-05
106,15,1,1.9850438548019156e-05
107,15,2,4.24598329118453e-05
108,15,3,3.87281397706829e-05
109,15,4,0.0003270752786193043
110,15,5,8.273358253063634e-05
111,15,6,0.00015984399942681193
112,16,0,3.710883902385831e-05
113,16,1,2.0100551409996115e-05
114,16,2,4.313473618822172e-05
115,16,3,4.009933036286384e-05
116,16,4,0.0003242015081923455
117,16,5,8.38076593936421e-05
118,16,6,0.00017771426064427942
119,17,0,3.7421832530526444e-05
120,17,1,1.887743201223202e-05
121,17,2,4.349365917732939e-05
122,17,3,4.285441536922008e-05
123,17,4,0.0002919606340583414
124,17,5,8.384147804463282e-05
125,17,6,0.00020638223213609308
126,18,0,3.739421663340181e-05
127,18,1,1.9971359506598674e-05
128,18,2,4.3494415876921266e-05
129,18,3,4.4799820898333564e-05
130,18,4,0.00031845408375374973
131,18,5,7.741574518149719e-05
132,18,6,0.00023529490863438696
133,19,0,3.728826413862407e-05
134,19,1,2.0052459149155766e-05
135,19,2,4.4699922000290826e-05
136,19,3,4.6187193220248446e-05
137,19,4,0.0003540742036420852
138,19,5,8.235245331889018e-05
139,19,6,0.0002940922568086535
140,20,0,3.730863318196498e-05
141,20,1,2.0075893189641647e-05
142,20,2,4.406709922477603e-05
143,20,3,4.512425948632881e-05
144,20,4,0.0003453005338087678
145,20,5,8.227969374274835e-05
146,20,6,0.000332976458594203
147,21,0,3.719172309502028e-05
148,21,1,2.083902472804766e-05
149,21,2,4.508754864218645e-05
150,21,3,4.532631646725349e-05
151,21,4,0.0002916461671702564
152,21,5,8.040886314120144e-05
153,21,6,0.00040310434997081757
154,22,0,3.7173453165451065e-05
155,22,1,2.0888581275357865e-05
156,22,2,4.393097697175108e-05
157,22,3,4.529144644038752e-05
158,22,4,0.00027616965235210955
159,22,5,7.083467062329873e-05
160,22,6,0.0005950290360487998
161,23,0,3.7232046452118084e-05
162,23,1,2.2679259927826934e-05
163,23,2,4.4058571802452207e-05
164,23,3,4.5176166167948395e-05
165,23,4,0.0002844958798959851
166,23,5,6.86802450218238e-05
167,23,6,0.0008665505447424948
168,24,0,3.707989526446909e-05
169,24,1,2.490774932084605e-05
170,24,2,4.1986357246059924e-05
171,24,3,4.2201849282719195e-05
172,24,4,0.00026246393099427223
173,24,5,6.495098932646215e-05
174,24,6,0.0012053693644702435
175,25,0,3.710546297952533e-05
176,25,1,2.6087745936820284e-05
177,25,2,4.2281393689336255e-05
178,25,3,4.163221092312597e-05
179,25,4,0.00020277546718716621
180,25,5,5.89279479754623e-05
181,25,6,0.0019391659880056977
182,26,0,3.705503331730142e-05
183,26,1,2.652505281730555e-05
184,26,2,4.233493746141903e-05
185,26,3,4.208922837278806e-05
186,26,4,0.0001774061529431492
187,26,5,6.101158942328766e-05
188,26,6,0.0035736726131290197
189,27,0,3.703635957208462e-05
190,27,1,2.696385490708053e-05
191,27,2,4.063627784489654e-05
192,27,3,4.1001585486810654e-05
193,27,4,0.00016572863387409598
194,27,5,5.8622001233743504e-05
195,27,6,0.006820803042501211
196,28,0,3.7184447137406096e-05
197,28,1,2.7413465431891382e-05
198,28,2,3.8887301343493164e-05
199,28,3,4.057698242831975e-05
200,28,4,0.00015525032358709723
201,28,5,6.361101259244606e-05
202,28,6,0.014762405306100845
203,29,0,3.7175868783378974e-05
204,29,1,2.7270998543826863e-05
205,29,2,3.899060902767815e-05
206,29,3,3.9911010389914736e-05
207,29,4,0.00013938421034254134
208,29,5,6.047128772479482e-05
209,29,6,0.027374621480703354
210,30,0,3.719993765116669e-05
211,30,1,2.915562072303146e-05
212,30,2,4.3060506868641824e-05
213,30,3,3.713461774168536e-05
214,30,4,0.00011863851977977902
215,30,5,6.665472028544173e-05
216,30,6,0.05846448987722397
217,31,0,3.7354009691625834e-05
218,31,1,2.954634874186013e-05
219,31,2,4.309281939640641e-05
220,31,3,3.650143844424747e-05
221,31,4,9.715322812553495e-05
222,31,5,7.011529669398442e-05
223,31,6,0.09862887859344482
224,32,0,3.7293815694283694e-05
225,32,1,3.160676351399161e-05
226,32,2,4.383027771837078e-05
227,32,3,3.56330128852278e-05
228,32,4,8.281935879494995e-05
229,32,5,7.220332918222994e-05
230,32,6,0.18454931676387787
231,33,0,3.7431236705742776e-05
232,33,1,3.2805808586999774e-05
233,33,2,4.3260475649731234e-05
234,33,3,3.601177377277054e-05
235,33,4,7.568296859972179e-05
236,33,5,6.803697760915384e-05
237,33,6,0.24986477196216583
238,34,0,3.75569834432099e-05
239,34,1,3.294108319096267e-05
240,34,2,4.2494510125834495e-05
241,34,3,3.5557288356358185e-05
242,34,4,6.755561480531469e-05
243,34,5,7.36938018235378e-05
244,34,6,0.33324238657951355
245,35,0,3.75912495655939e-05
246,35,1,3.404014933039434e-05
247,35,2,4.2791787564055994e-05
248,35,3,3.642529554781504e-05
249,35,4,6.617136386921629e-05
250,35,5,7.523420208599418e-05
251,35,6,0.33077743649482727
252,36,0,3.783047941396944e-05
253,36,1,3.398871558601968e-05
254,36,2,4.262591028236784e-05
255,36,3,3.664872929221019e-05
256,36,4,6.600710185011849e-05
257,36,5,7.650542829651386e-05
258,36,6,0.35513782501220703
259,37,0,3.7914385757176206e-05
260,37,1,3.364089207025245e-05
261,37,2,4.272429214324802e-05
262,37,3,3.6541609006235376e-05
263,37,4,6.34740135865286e-05
264,37,5,7.256567914737388e-05
265,37,6,0.37008294463157654
266,38,0,3.803075378527865e-05
267,38,1,3.4767046599881724e-05
268,38,2,4.270550925866701e-05
269,38,3,3.6365072446642444e-05
270,38,4,6.140195910120383e-05
271,38,5,7.08821535226889e-05
272,38,6,0.4018538296222687
273,39,0,3.790946357185021e-05
274,39,1,3.4758511901600286e-05
275,39,2,4.206100493320264e-05
276,39,3,3.6670742701971903e-05
277,39,4,5.906011210754514e-05
278,39,5,7.186259608715773e-05
