,layer,pos,prob
0,0,0,0.013667061924934387
1,0,1,0.42675042152404785
2,0,2,0.0032690055668354034
3,0,3,0.0008237073197960854
4,0,4,0.0006506447680294514
5,1,0,0.013390591368079185
6,1,1,0.4112163782119751
7,1,2,0.010130822658538818
8,1,3,0.0008148696506395936
9,1,4,0.000692992762196809
10,2,0,0.013438655063509941
11,2,1,0.49882978200912476
12,2,2,0.007508447859436274
13,2,3,0.0009159335750155151
14,2,4,0.0006754245259799063
15,3,0,0.013795813545584679
16,3,1,0.480028361082077
17,3,2,0.013312560506165028
18,3,3,0.0011274199932813644
19,3,4,0.0006581483175978065
20,4,0,0.013820216991007328
21,4,1,0.4956152141094208
22,4,2,0.010260741226375103
23,4,3,0.0011029945453628898
24,4,4,0.0006632395670749247
25,5,0,0.013847591355443
26,5,1,0.4948846995830536
27,5,2,0.017142076045274734
28,5,3,0.0033343774266541004
29,5,4,0.0006780677358619869
30,6,0,0.0011893728515133262
31,6,1,0.34133175015449524
32,6,2,0.039220310747623444
33,6,3,0.01349883433431387
34,6,4,0.0005706468364223838
35,7,0,0.002620336599647999
36,7,1,0.28630825877189636
37,7,2,0.012581822462379932
38,7,3,0.009816666133701801
39,7,4,0.0005040023825131357
40,8,0,0.0027142742183059454
41,8,1,0.029053185135126114
42,8,2,0.004699079319834709
43,8,3,0.003255014307796955
44,8,4,0.00046236609341576695
45,9,0,0.0019438446033746004
46,9,1,0.17560389637947083
47,9,2,0.005283155478537083
48,9,3,0.013656812720000744
49,9,4,0.0004972225287929177
50,10,0,0.00048133308882825077
51,10,1,0.1830112636089325
52,10,2,0.001373537932522595
53,10,3,0.01348821446299553
54,10,4,0.0005154857644811273
55,11,0,0.0005811009323224425
56,11,1,0.08890917152166367
57,11,2,0.0007965232944115996
58,11,3,0.015149066224694252
59,11,4,0.00039990260847844183
60,12,0,0.0005075093940831721
61,12,1,0.06189897656440735
62,12,2,0.0007873408612795174
63,12,3,0.02047928050160408
64,12,4,0.0003639261703938246
65,13,0,0.000537196290679276
66,13,1,0.020915228873491287
