,layer,pos,prob
0,0,0,0.0090924808755517
1,0,1,0.40112176537513733
2,0,2,0.004075188189744949
3,0,3,0.0007144726696424186
4,0,4,0.0006145497318357229
5,1,0,0.00020328329992480576
6,1,1,0.4663700759410858
7,1,2,0.00719347782433033
8,1,3,0.0007653164211660624
9,1,4,0.0006586792878806591
10,2,0,0.0022944826632738113
11,2,1,0.48325398564338684
12,2,2,0.019893042743206024
13,2,3,0.0010921863140538335
14,2,4,0.0006982548511587083
15,3,0,0.0012352323392406106
16,3,1,0.5077040791511536
17,3,2,0.02534782700240612
18,3,3,0.0012327595613896847
19,3,4,0.0007219390827231109
20,4,0,0.0035922862589359283
21,4,1,0.5263404250144958
22,4,2,0.04830440878868103
23,4,3,0.001415323931723833
24,4,4,0.0007270879577845335
25,5,0,0.0012605395168066025
26,5,1,0.5432488322257996
27,5,2,0.04829658940434456
28,5,3,0.002473006257787347
29,5,4,0.0007777803693898022
30,6,0,0.0007872963324189186
31,6,1,0.5378664135932922
32,6,2,0.08483882993459702
33,6,3,0.004901237320154905
34,6,4,0.0008009412558749318
35,7,0,0.0005202616448514163
36,7,1,0.5159103870391846
37,7,2,0.1303023397922516
38,7,3,0.012030205689370632
39,7,4,0.0008610437507741153
40,8,0,0.000513685226906091
41,8,1,0.5037022233009338
42,8,2,0.13609421253204346
43,8,3,0.02833319455385208
44,8,4,0.0009222751250490546
45,9,0,0.00052485684864223
46,9,1,0.4778295159339905
47,9,2,0.1524333953857422
48,9,3,0.0805087760090828
49,9,4,0.0010315446415916085
50,10,0,0.000532273028511554
51,10,1,0.47016897797584534
52,10,2,0.14522793889045715
53,10,3,0.12525945901870728
54,10,4,0.0012425807071849704
55,11,0,0.0005379564827308059
56,11,1,0.4626431167125702
57,11,2,0.1298057734966278
58,11,3,0.12326014041900635
59,11,4,0.0015959477750584483
60,12,0,0.0005426155403256416
61,12,1,0.4366951286792755
62,12,2,0.11509446054697037
63,12,3,0.12442262470722198
64,12,4,0.0022441160399466753
65,13,0,0.0005383190582506359
66,13,1,0.35464873909950256
67,13,2,0.10719549655914307
68,13,3,0.15202976763248444
69,13,4,0.0035833141300827265
70,14,0,0.0005313765141181648
71,14,1,0.20491722226142883
72,14,2,0.07597526162862778
73,14,3,0.15461567044258118
74,14,4,0.008904347196221352
75,15,0,0.0005333996959961951
76,15,1,0.1475781798362732
77,15,2,0.06703375279903412
78,15,3,0.12479601800441742
79,15,4,0.02532711625099182
80,16,0,0.0005342027870938182
81,16,1,0.05991126224398613
82,16,2,0.04541255906224251
83,16,3,0.12057788670063019
84,16,4,0.056836314499378204
85,17,0,0.0005375467007979751
86,17,1,0.029091862961649895
87,17,2,0.045263562351465225
88,17,3,0.10061568021774292
89,17,4,0.08970282971858978
90,18,0,0.0005389612051658332
91,18,1,0.008203364908695221
92,18,2,0.017520982772111893
93,18,3,0.07562946528196335
94,18,4,0.1269102394580841
95,19,0,0.000532986712642014
96,19,1,0.005419265013188124
97,19,2,0.004432108253240585
98,19,3,0.05886872485280037
99,19,4,0.20083580911159515
100,20,0,0.0005342364311218262
101,20,1,0.004903644323348999
102,20,2,0.004187322221696377
103,20,3,0.05150645971298218
104,20,4,0.24705548584461212
105,21,0,0.0005304472870193422
106,21,1,0.004908543545752764
107,21,2,0.0038094716146588326
108,21,3,0.044276878237724304
109,21,4,0.3071015179157257
110,22,0,0.0005281755002215505
111,22,1,0.003512779250741005
112,22,2,0.003112870268523693
113,22,3,0.03471551463007927
114,22,4,0.37476643919944763
115,23,0,0.0005276164738461375
116,23,1,0.0034817694686353207
117,23,2,0.004271716345101595
118,23,3,0.02952640876173973
119,23,4,0.3839801549911499
120,24,0,0.0005290252738632262
121,24,1,0.003658363362774253
122,24,2,0.005026725586503744
123,24,3,0.022813592106103897
124,24,4,0.395780086517334
125,25,0,0.0005317179020494223
126,25,1,0.0030919169075787067
127,25,2,0.0029266495257616043
128,25,3,0.008277449756860733
129,25,4,0.38756635785102844
130,26,0,0.0005331416614353657
131,26,1,0.0028754407539963722
132,26,2,0.0025208275765180588
133,26,3,0.006755605340003967
134,26,4,0.3731250762939453
135,27,0,0.0005344710662029684
136,27,1,0.0025373846292495728
137,27,2,0.0020871844608336687
138,27,3,0.003599797375500202
139,27,4,0.3566252589225769
140,28,0,0.0005330948624759912
141,28,1,0.0025777716655284166
142,28,2,0.00202115043066442
143,28,3,0.0022615313064306974
144,28,4,0.36756467819213867
145,29,0,0.0005353825399652123
146,29,1,0.002377578755840659
147,29,2,0.0019640526734292507
148,29,3,0.001821900368668139
149,29,4,0.35362592339515686
150,30,0,0.0005361268413253129
151,30,1,0.0023394536692649126
152,30,2,0.0018084329785779119
153,30,3,0.0015873676165938377
154,30,4,0.3615407943725586
155,31,0,0.0005355573375709355
156,31,1,0.0020635765977203846
157,31,2,0.001343367388471961
158,31,3,0.0012477337149903178
159,31,4,0.3817860186100006
160,32,0,0.0005356394685804844
161,32,1,0.001591215026564896
162,32,2,0.000811389705631882
163,32,3,0.0010596646461635828
164,32,4,0.44895365834236145
165,33,0,0.000535205181222409
166,33,1,0.001520408783107996
167,33,2,0.0008190316730178893
168,33,3,0.0008473974885419011
