,layer,pos,prob
0,0,0,7.58473906898871e-05
1,0,1,2.4193534045480192e-05
2,0,2,4.5595694246003404e-05
3,0,3,5.032511398894712e-05
4,0,4,5.261405749479309e-05
5,0,5,0.0002371905284235254
6,0,6,4.55594235972967e-05
7,1,0,7.572515460196882e-05
8,1,1,2.4717812266317196e-05
9,1,2,4.386005093692802e-05
10,1,3,5.232020703260787e-05
11,1,4,6.0767568356823176e-05
12,1,5,0.0002387551066931337
13,1,6,4.741502198157832e-05
14,2,0,7.840615580789745e-05
15,2,1,2.6825135137187317e-05
16,2,2,4.568596341414377e-05
17,2,3,5.435116690932773e-05
18,2,4,5.793699892819859e-05
19,2,5,0.00022758837440051138
20,2,6,4.422733036335558e-05
21,3,0,7.925082900328562e-05
22,3,1,3.054852277273312e-05
23,3,2,4.63806172774639e-05
24,3,3,6.0068115999456495e-05
25,3,4,5.7235338317696005e-05
26,3,5,0.00023713383416179568
27,3,6,4.525847180048004e-05
28,4,0,7.942456431919709e-05
29,4,1,3.3421725674998015e-05
30,4,2,4.552579775918275e-05
31,4,3,6.551285332534462e-05
32,4,4,5.134077582624741e-05
33,4,5,0.00024372704501729459
34,4,6,4.7949426516424865e-05
35,5,0,7.944041135488078e-05
36,5,1,3.254868715885095e-05
37,5,2,4.411295594763942e-05
38,5,3,6.303546979324892e-05
39,5,4,5.21671972819604e-05
40,5,5,0.0002577941631898284
41,5,6,5.267437518341467e-05
42,6,0,3.066784847760573e-05
43,6,1,2.913301250373479e-05
44,6,2,4.975929550710134e-05
45,6,3,6.368414324242622e-05
46,6,4,6.854520324850455e-05
47,6,5,0.00022525301028508693
48,6,6,6.010542347212322e-05
49,7,0,4.544371768133715e-05
50,7,1,2.120151839335449e-05
51,7,2,4.902234286419116e-05
52,7,3,3.919935261365026e-05
53,7,4,8.736545714782551e-05
54,7,5,0.0002288750110892579
55,7,6,7.02927791280672e-05
56,8,0,5.026953658671118e-05
57,8,1,4.484138116822578e-05
58,8,2,4.4145876017864794e-05
59,8,3,3.359689799253829e-05
60,8,4,2.8094533263356425e-05
61,8,5,0.00022667626035399735
62,8,6,7.650699990335852e-05
63,9,0,2.6601986974128522e-05
64,9,1,3.0276063625933602e-05
65,9,2,3.2245665352093056e-05
66,9,3,3.198125705239363e-05
67,9,4,2.2896563677932136e-05
68,9,5,0.00013797779683955014
69,9,6,7.100792572600767e-05
70,10,0,3.559830292942934e-05
71,10,1,1.7968717656913213e-05
72,10,2,3.100018511759117e-05
73,10,3,3.810020280070603e-05
74,10,4,2.774432323349174e-05
75,10,5,6.961884355405346e-05
76,10,6,6.555976142408326e-05
77,11,0,3.781673513003625e-05
78,11,1,2.056006997008808e-05
79,11,2,3.4631655580597e-05
80,11,3,3.8404788938350976e-05
81,11,4,5.581442383117974e-05
82,11,5,7.442861533490941e-05
83,11,6,5.586228508036584e-05
84,12,0,3.674161416711286e-05
85,12,1,2.4491890144417994e-05
86,12,2,3.343164280522615e-05
87,12,3,4.054774763062596e-05
88,12,4,3.975355139118619e-05
89,12,5,0.0001032117143040523
90,12,6,4.970521331415512e-05
91,13,0,3.660474976641126e-05
92,13,1,2.3896851416793652e-05
93,13,2,3.8468271668534726e-05
94,13,3,3.974823630414903e-05
95,13,4,3.5807956010103226e-05
96,13,5,0.00010354198457207531
97,13,6,6.329115421976894e-05
98,14,0,3.7277888623066247e-05
99,14,1,2.1996429495629855e-05
100,14,2,4.625651126843877e-05
101,14,3,3.5308345104567707e-05
102,14,4,6.879702414153144e-05
103,14,5,0.00010738550190581009
104,14,6,7.461837230948731e-05
105,15,0,3.728579395101406e-05
106,15,1,2.3456677809008397e-05
107,15,2,4.382180850370787e-05
108,15,3,3.463177927187644e-05
109,15,4,0.00018268454005010426
110,15,5,0.0001133383993874304
111,15,6,8.882317342795432e-05
112,16,0,3.744370769709349e-05
113,16,1,2.2768150301999412e-05
114,16,2,4.1029055864783004e-05
115,16,3,3.479079168755561e-05
116,16,4,0.0003107266966253519
117,16,5,6.00928942731116e-05
118,16,6,8.156632247846574e-05
119,17,0,3.753643613890745e-05
120,17,1,1.958597931661643e-05
121,17,2,4.1206243622582406e-05
122,17,3,3.600540367187932e-05
123,17,4,0.00018842695862986147
124,17,5,4.250388519722037e-05
125,17,6,7.402395567623898e-05
126,18,0,3.763115091715008e-05
127,18,1,1.7567566828802228e-05
128,18,2,4.928098132950254e-05
129,18,3,3.6366607673699036e-05
130,18,4,0.00023455559858120978
131,18,5,4.424174767336808e-05
132,18,6,6.971529364818707e-05
133,19,0,3.7641701055690646e-05
134,19,1,1.8385891962680034e-05
135,19,2,4.885731323156506e-05
136,19,3,3.754361387109384e-05
137,19,4,0.0002273918071296066
138,19,5,4.878010440734215e-05
139,19,6,8.596965199103579e-05
140,20,0,3.773239586735144e-05
141,20,1,1.916901601362042e-05
142,20,2,5.0315142289036885e-05
143,20,3,3.6603669286705554e-05
144,20,4,0.0001696854451438412
145,20,5,4.53899847343564e-05
146,20,6,8.117621473502368e-05
147,21,0,3.7767793401144445e-05
148,21,1,2.186330129916314e-05
149,21,2,4.5471981138689443e-05
150,21,3,3.740412284969352e-05
151,21,4,0.00011991984501946718
152,21,5,4.072811861988157e-05
153,21,6,8.82318418007344e-05
154,22,0,3.7743011489510536e-05
155,22,1,1.8512948372517712e-05
156,22,2,4.4635500671574846e-05
157,22,3,3.937350629712455e-05
158,22,4,9.250411676475778e-05
159,22,5,3.577216557459906e-05
160,22,6,9.937911090673879e-05
161,23,0,3.771111732930876e-05
162,23,1,2.1738749637734145e-05
163,23,2,4.362008621683344e-05
164,23,3,4.0475231799064204e-05
165,23,4,5.023109042667784e-05
166,23,5,3.0326731575769372e-05
167,23,6,9.139169560512528e-05
168,24,0,3.7679677916457877e-05
169,24,1,2.388799111940898e-05
170,24,2,3.728117371792905e-05
171,24,3,4.021640415885486e-05
172,24,4,5.968981349724345e-05
173,24,5,3.0603219784097746e-05
174,24,6,0.00010802806355059147
175,25,0,3.771796764340252e-05
176,25,1,2.630938070069533e-05
177,25,2,3.9118553104344755e-05
178,25,3,3.921062307199463e-05
179,25,4,6.056375423213467e-05
180,25,5,3.0247467293520458e-05
181,25,6,0.00010307479533366859
182,26,0,3.773127173190005e-05
183,26,1,2.375445910729468e-05
184,26,2,4.12211702496279e-05
185,26,3,3.8774916902184486e-05
186,26,4,5.794065509689972e-05
187,26,5,2.8893404305563308e-05
188,26,6,9.981909533962607e-05
189,27,0,3.7722660636063665e-05
190,27,1,2.4595510694780387e-05
