,layer,pos,prob
0,0,0,0.002189519116654992
1,0,1,0.03226792439818382
2,0,2,0.05746524780988693
3,0,3,0.0014826174592599273
4,0,4,0.0007270879577845335
5,1,0,0.001985786249861121
6,1,1,0.011899753473699093
7,1,2,0.07779078930616379
8,1,3,0.0026201189029961824
9,1,4,0.0007777803693898022
10,2,0,0.0021361743565648794
11,2,1,0.003534956369549036
12,2,2,0.12599095702171326
13,2,3,0.005160947795957327
14,2,4,0.0008009412558749318
15,3,0,0.002121192403137684
16,3,1,0.0011434111511334777
17,3,2,0.18120412528514862
18,3,3,0.012728569097816944
19,3,4,0.0008610437507741153
20,4,0,0.0021099098958075047
21,4,1,0.000852113647852093
22,4,2,0.19417747855186462
23,4,3,0.029611816629767418
24,4,4,0.0009222751250490546
25,5,0,0.0021111033856868744
26,5,1,0.0007702783332206309
27,5,2,0.21972310543060303
28,5,3,0.08530581742525101
29,5,4,0.0010315446415916085
30,6,0,0.0015164179494604468
31,6,1,0.0012171295238658786
32,6,2,0.2166154980659485
33,6,3,0.11047375202178955
34,6,4,0.0009266254492104053
35,7,0,0.0019366638734936714
36,7,1,9.645381214795634e-05
37,7,2,0.18574127554893494
38,7,3,0.08544427901506424
39,7,4,0.0010515208123251796
40,8,0,0.001010716543532908
41,8,1,0.00037350659840740263
42,8,2,0.1463755965232849
43,8,3,0.03844812884926796
44,8,4,0.0012229365529492497
45,9,0,0.0007083279779180884
46,9,1,0.00030471468926407397
47,9,2,0.1310712993144989
48,9,3,0.05481662601232529
49,9,4,0.0015032117953523993
50,10,0,0.000583106535486877
51,10,1,0.0005590079817920923
52,10,2,0.116609126329422
53,10,3,0.09068229794502258
54,10,4,0.0035333612468093634
55,11,0,0.000506523298099637
56,11,1,0.0004654375952668488
57,11,2,0.11271151155233383
58,11,3,0.06564339250326157
59,11,4,0.008933073841035366
60,12,0,0.0005341368960216641
61,12,1,0.0003057021531276405
62,12,2,0.08397923409938812
63,12,3,0.06305210292339325
64,12,4,0.02243606187403202
65,13,0,0.00053497584303841
66,13,1,0.00041355672874487936
67,13,2,0.06260453164577484
68,13,3,0.06821735948324203
69,13,4,0.03685972839593887
70,14,0,0.0005360994255170226
71,14,1,0.0005146072944626212
72,14,2,0.0389702245593071
73,14,3,0.059894513338804245
74,14,4,0.046670667827129364
75,15,0,0.0005365588003769517
76,15,1,0.0005545638268813491
77,15,2,0.018952293321490288
78,15,3,0.057824164628982544
79,15,4,0.05909019708633423
80,16,0,0.0005371823790483177
81,16,1,0.0005369096179492772
82,16,2,0.009731883183121681
83,16,3,0.032617587596178055
84,16,4,0.06322169303894043
85,17,0,0.0005367591511458158
86,17,1,0.0005120141431689262
87,17,2,0.008967441506683826
88,17,3,0.02616896852850914
89,17,4,0.06019331142306328
90,18,0,0.0005367703852243721
91,18,1,0.0005434415652416646
92,18,2,0.004877962172031403
93,18,3,0.026257241144776344
94,18,4,0.08693750947713852
95,19,0,0.0005366585683077574
96,19,1,0.0005353320157155395
97,19,2,0.0031328757759183645
98,19,3,0.009304930455982685
99,19,4,0.11219272762537003
100,20,0,0.0005365920369513333
101,20,1,0.0005049736355431378
102,20,2,0.0014107705792412162
103,20,3,0.004482327029109001
104,20,4,0.1097867488861084
105,21,0,0.000536577426828444
106,21,1,0.0005198671133257449
107,21,2,0.0011142384028062224
108,21,3,0.004470566287636757
109,21,4,0.10323767364025116
110,22,0,0.0005363302188925445
111,22,1,0.0005189453368075192
112,22,2,0.0008778306073509157
113,22,3,0.0019329035421833396
114,22,4,0.09823910892009735
115,23,0,0.0005363866803236306
116,23,1,0.0005504057626239955
117,23,2,0.0004968717112205923
118,23,3,0.001285466831177473
119,23,4,0.08046440035104752
120,24,0,0.0005361512885428965
121,24,1,0.0005472292541526258
122,24,2,0.000664793245960027
123,24,3,0.0015314080519601703
124,24,4,0.09881408512592316
125,25,0,0.0005360420327633619
126,25,1,0.0005425189156085253
127,25,2,0.0007175810169428587
128,25,3,0.001543405232951045
129,25,4,0.12363779544830322
130,26,0,0.0005361248622648418
131,26,1,0.0005507937748916447
132,26,2,0.0006852157530374825
133,26,3,0.0011395758483558893
134,26,4,0.10501497238874435
135,27,0,0.000536336621735245
136,27,1,0.0005497338715940714
137,27,2,0.0007642643759027123
138,27,3,0.0011638139840215445
139,27,4,0.09689459949731827
140,28,0,0.0005362394149415195
141,28,1,0.0005476805963553488
142,28,2,0.0007003333303146064
143,28,3,0.0008803561213426292
144,28,4,0.04605720937252045
145,29,0,0.0005360416253097355
146,29,1,0.0005511399358510971
147,29,2,0.0006860186695121229
148,29,3,0.000859858701005578
149,29,4,0.03894508257508278
150,30,0,0.0005357207264751196
151,30,1,0.0005453918129205704
152,30,2,0.000649186666123569
153,30,3,0.0007447098032571375
154,30,4,0.03278930485248566
155,31,0,0.0005356810870580375
156,31,1,0.0005467110313475132
157,31,2,0.0006120972684584558
158,31,3,0.0006724325357936323
159,31,4,0.019703542813658714
160,32,0,0.0005358473281376064
161,32,1,0.0005389897269196808
162,32,2,0.0005889449384994805
163,32,3,0.0005851004389114678
164,32,4,0.010948780924081802
165,33,0,0.0005356576875783503
166,33,1,0.0005414470797404647
167,33,2,0.0005830085137858987
168,33,3,0.0005724286893382668
169,33,4,0.007769797462970018
170,34,0,0.0005356787005439401
171,34,1,0.0005411368911154568
172,34,2,0.0005913989152759314
173,34,3,0.0005598297575488687
174,34,4,0.0036740934010595083
175,35,0,0.0005356130423024297
176,35,1,0.0005429052980616689
177,35,2,0.0005744720110669732
178,35,3,0.0005513920332305133
179,35,4,0.002032103482633829
180,36,0,0.0005354179302230477
181,36,1,0.0005423189722932875
182,36,2,0.0005698859458789229
183,36,3,0.0005573867820203304
184,36,4,0.002348303562030196
185,37,0,0.0005353833548724651
186,37,1,0.0005367983831092715
187,37,2,0.0005544041050598025
188,37,3,0.0005373700987547636
189,37,4,0.001744297333061695
190,38,0,0.0005354652530513704
191,38,1,0.0005370004219003022
192,38,2,0.0005519294645637274
193,38,3,0.0005176090053282678
194,38,4,0.0014950159238651395
195,39,0,0.0005357299232855439
196,39,1,0.000535219325684011
197,39,2,0.0005465892027132213
198,39,3,0.0005242554470896721
199,39,4,0.001188923604786396
200,40,0,0.0005359696224331856
201,40,1,0.0005351944710128009
202,40,2,0.0005439757951535285
203,40,3,0.0005204560002312064
204,40,4,0.0010740675497800112
205,41,0,0.0005355675821192563
206,41,1,0.0005335096502676606
207,41,2,0.0005438898224383593
208,41,3,0.0005176432896405458
209,41,4,0.0010565236443653703
210,42,0,0.0005347010446712375
211,42,1,0.0005355275352485478
212,42,2,0.0005442643887363374
213,42,3,0.0005228231893852353
214,42,4,0.001136384904384613
215,43,0,0.0005348838167265058
216,43,1,0.0005350795108824968
217,43,2,0.0005392340244725347
218,43,3,0.0005260320613160729
219,43,4,0.0011452474864199758
220,44,0,0.0005350037827156484
221,44,1,0.0005366216646507382
222,44,2,0.0005383503157645464
223,44,3,0.0005292735295370221
224,44,4,0.001199130667373538
225,45,0,0.0005351479048840702
226,45,1,0.0005374923930503428
227,45,2,0.0005384465912356973
228,45,3,0.0005370500148274004
229,45,4,0.0010731640504673123
230,46,0,0.0005352846346795559
231,46,1,0.0005373508320190012
232,46,2,0.0005370454164221883
233,46,3,0.000533322396222502
234,46,4,0.0008975132368505001
235,47,0,0.0005353206652216613
236,47,1,0.0005368205020204186
237,47,2,0.000536470499355346
238,47,3,0.0005338799091987312
239,47,4,0.0008582538575865328
