,layer,pos,prob
0,0,0,0.002918108832091093
1,0,1,0.5586842894554138
2,0,2,0.001965019851922989
3,0,3,0.001110556535422802
4,1,0,0.001000636606477201
5,1,1,0.5439445972442627
6,1,2,0.002142700832337141
7,1,3,0.0012123871129006147
8,2,0,0.00022602805984206498
9,2,1,0.5317316055297852
10,2,2,0.002665649401023984
11,2,3,0.0013585692504420877
12,3,0,0.0001700793218333274
13,3,1,0.5112025141716003
14,3,2,0.0026307275984436274
15,3,3,0.0014950521290302277
16,4,0,0.0001923536037793383
17,4,1,0.5228787660598755
18,4,2,0.0026141859125345945
19,4,3,0.001611331244930625
20,5,0,0.0003275772323831916
21,5,1,0.5209755897521973
22,5,2,0.0026632556691765785
23,5,3,0.001538467244245112
24,6,0,0.0022719327826052904
25,6,1,0.5186017751693726
26,6,2,0.002675354015082121
27,6,3,0.0015075696865096688
28,7,0,0.00205291248857975
29,7,1,0.5235547423362732
30,7,2,0.002331661758944392
31,7,3,0.0015221256762742996
32,8,0,0.0019544153474271297
33,8,1,0.5236313939094543
34,8,2,0.0023215925320982933
35,8,3,0.0015556362923234701
36,9,0,0.0016444881912320852
37,9,1,0.525570273399353
38,9,2,0.002688684966415167
39,9,3,0.0017400694778189063
40,10,0,0.0013323059538379312
41,10,1,0.5251885056495667
42,10,2,0.0028322525322437286
43,10,3,0.0018141089240089059
44,11,0,0.0011864391854032874
45,11,1,0.5234854221343994
46,11,2,0.002998892217874527
47,11,3,0.0019661474507302046
48,12,0,0.0012350128963589668
49,12,1,0.5331881642341614
50,12,2,0.0027076120022684336
51,12,3,0.002145218662917614
52,13,0,0.0011981215793639421
53,13,1,0.5242102146148682
54,13,2,0.0035560904070734978
55,13,3,0.002552430611103773
56,14,0,0.0010922435903921723
57,14,1,0.5243516564369202
58,14,2,0.0055009108036756516
59,14,3,0.0030900875572115183
60,15,0,0.0010925461538136005
61,15,1,0.5306130647659302
62,15,2,0.007285031955689192
63,15,3,0.0038152423221617937
64,16,0,0.0010809735395014286
65,16,1,0.4803270399570465
66,16,2,0.008992699906229973
67,16,3,0.0059515200555324554
68,17,0,0.0010471727000549436
69,17,1,0.4253838062286377
70,17,2,0.012358970008790493
71,17,3,0.006979198660701513
72,18,0,0.001043241354636848
73,18,1,0.28504452109336853
74,18,2,0.01869579218327999
75,18,3,0.010038774460554123
76,19,0,0.001035160617902875
77,19,1,0.19070503115653992
78,19,2,0.015794534236192703
79,19,3,0.011851026676595211
80,20,0,0.0010332457022741437
81,20,1,0.15206186473369598
