,layer,pos,prob
0,0,0,2.430515451123938e-05
1,0,1,1.8400773114990443e-05
2,0,2,5.719068940379657e-05
3,0,3,4.3400224967626855e-05
4,0,4,3.942746843677014e-05
5,0,5,5.3256058890838176e-05
6,0,6,4.1299885197076946e-05
7,1,0,2.4097431378322653e-05
8,1,1,1.972771315195132e-05
9,1,2,5.6620159739395604e-05
10,1,3,4.648353569791652e-05
11,1,4,3.795658267335966e-05
12,1,5,6.30636714049615e-05
13,1,6,5.102246723254211e-05
14,2,0,2.4135706553352065e-05
15,2,1,2.064396903733723e-05
16,2,2,6.581738853128627e-05
17,2,3,4.6798460971331224e-05
18,2,4,5.542342842090875e-05
19,2,5,7.066444959491491e-05
20,2,6,6.393785588443279e-05
21,3,0,2.4146864234353416e-05
22,3,1,1.9344019165146165e-05
23,3,2,6.301389657892287e-05
24,3,3,4.798676309292205e-05
25,3,4,4.2534851672826335e-05
26,3,5,6.743094854755327e-05
27,3,6,5.211053940001875e-05
28,4,0,2.4141514586517587e-05
29,4,1,1.956871710717678e-05
30,4,2,6.343283166643232e-05
31,4,3,4.935799370286986e-05
32,4,4,3.589647894841619e-05
33,4,5,6.719881639583036e-05
34,4,6,7.020970224402845e-05
35,5,0,2.4173985366360284e-05
36,5,1,2.0022796888952143e-05
37,5,2,6.127775850472972e-05
38,5,3,5.055060319136828e-05
39,5,4,3.4444987250026315e-05
40,5,5,6.923218461452052e-05
41,5,6,9.471601515542716e-05
42,6,0,6.275790656218305e-05
43,6,1,2.1321071471902542e-05
44,6,2,7.810838724253699e-05
45,6,3,4.7064262616913766e-05
46,6,4,3.073853440582752e-05
47,6,5,6.92799876560457e-05
48,6,6,0.00011047434963984415
49,7,0,5.5590004194527864e-05
50,7,1,2.4146624127752148e-05
51,7,2,7.724079478066415e-05
52,7,3,5.021929246140644e-05
53,7,4,2.6370600608061068e-05
54,7,5,6.686784035991877e-05
55,7,6,0.00011430100130382925
56,8,0,4.296860424801707e-05
57,8,1,1.3802493413095362e-05
58,8,2,7.416251173708588e-05
59,8,3,4.238827750668861e-05
60,8,4,2.5919020117726177e-05
61,8,5,3.0518502171617e-05
62,8,6,0.000135144786327146
63,9,0,3.823157021543011e-05
64,9,1,1.0443731298437342e-05
65,9,2,4.224326403345913e-05
66,9,3,4.4031017750967294e-05
67,9,4,2.7579897505347617e-05
68,9,5,3.0480261557386257e-05
69,9,6,0.0001331182720605284
70,10,0,3.779764665523544e-05
71,10,1,1.3570773262472358e-05
72,10,2,4.441271084942855e-05
73,10,3,4.7388421080540866e-05
74,10,4,2.3227015844895504e-05
75,10,5,3.577612733351998e-05
76,10,6,0.00013911494170315564
77,11,0,3.7775211239932105e-05
78,11,1,2.3334994693868794e-05
79,11,2,3.775877848966047e-05
80,11,3,4.6033623220864683e-05
